Barcode	Cell ID	Cell Name	WellID	Sample	CompoundNo	CompoundConc	Signal	Modified	Created						
2012-10-24 17:46:33	1437	HCC-1954	H24	BL	0	0	492	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	I01	BDR	0	0	9652	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	I02	CRL	0	0	11532	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	I12	CRL	0	0	11964	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	I13	CRL	0	0	12652	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	I23	BL	0	0	88	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	I24	BL	0	0	28	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	J01	BDR	0	0	5460	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	J02	CRL	0	0	10748	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	J12	CRL	0	0	11316	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	J13	CRL	0	0	7852	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	J23	BL	0	0	100	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	J24	BL	0	0	24	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	K01	BDR	0	0	8672	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	K02	CRL	0	0	12204	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	K12	CRL	0	0	11880	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	K13	CRL	0	0	10432	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	K23	BL	0	0	76	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	K24	BL	0	0	24	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	L01	BDR	0	0	8020	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	L02	CRL	0	0	13100	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	L12	CRL	0	0	10300	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	L13	CRL	0	0	11476	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	L23	BL	0	0	68	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	L24	BL	0	0	28	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	M01	BDR	0	0	6312	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	M02	CRL	0	0	12764	2012-11-21 17:00:00	2012-11-21 17:00:00						
